CustomerID,FirstName,Gender,City,Frequency,Item,Spend
938,Steven,Male,Stamford,Daily,Chalupa,99.87
858,Justin,Male,Philadelphia,Seldom,Burger,99.68
624,Lillian,Female,New York,Weekly,Sushi,99.51
426,Gloria,Female,Philadelphia,Once,Chalupa,99.29
641,Martin,Male,Stamford,Often,Donut,99.26
796,Joe,Male,Philadelphia,Monthly,Ice Cream,99.24
583,Louise,Female,Stamford,Often,Burrito,99.21
19,Bruce,Male,Stamford,Often,Ice Cream,99.17
69,Andrea,Female,Philadelphia,Daily,Sushi,99.02
90,Elizabeth,Female,New York,Yearly,Burger,98.96
541,Martin,Male,Philadelphia,Yearly,Burger,98.83
608,Robin,Female,Stamford,Never,Chalupa,98.78
483,Janice,Female,Stamford,Weekly,Chalupa,98.69
995,Shirley,Female,Stamford,Never,Burrito,98.61
191,Kenneth,Male,Stamford,Seldom,Sushi,98.48
236,Diane,Female,New York,Yearly,Chalupa,98.43
396,Sean,Male,Philadelphia,Seldom,Chalupa,98.4
752,Jose,Male,New York,Daily,Burrito,98.04
991,Pamela,Female,New York,Never,Burger,97.89
806,Susan,Female,New York,Daily,Ice Cream,97.83
427,Katherine,Female,Philadelphia,Seldom,Burger,97.79
568,Catherine,Female,New York,Monthly,Burger,97.77
16,Paul,Male,Philadelphia,Often,Ice Cream,97.67
149,Walter,Male,New York,Seldom,Ice Cream,97.65
315,Theresa,Female,Stamford,Often,Burrito,97.48
197,Judith,Female,Stamford,Often,Ice Cream,97.44
964,Earl,Male,New York,Once,Ice Cream,97.41
353,Justin,Male,Stamford,Weekly,Burger,97.2
173,Philip,Male,Philadelphia,Monthly,Sushi,97.12
51,Anthony,Male,Stamford,Weekly,Sushi,96.97
105,Stephen,Male,Stamford,Yearly,Chalupa,96.9
70,Julie,Female,Philadelphia,Never,Burrito,96.79
798,Ernest,Male,New York,Yearly,Ice Cream,96.74
620,Andrea,Female,Philadelphia,Never,Donut,96.52
638,Fred,Male,New York,Often,Chalupa,96.44
659,Sean,Male,Philadelphia,Yearly,Ice Cream,96.34
251,Joseph,Male,Philadelphia,Monthly,Burger,96.25
264,Bonnie,Female,Philadelphia,Seldom,Chalupa,96.11
529,Roger,Male,Philadelphia,Weekly,Sushi,95.7
762,Paula,Female,Stamford,Daily,Chalupa,95.7
977,Jesse,Male,Philadelphia,Never,Ice Cream,95.69
244,Julia,Female,New York,Daily,Donut,95.63
339,Lori,Female,New York,Never,Ice Cream,95.6
302,Anne,Female,New York,Seldom,Ice Cream,95.58
828,Walter,Male,New York,Monthly,Chalupa,95.49
708,Willie,Male,New York,Often,Ice Cream,95.45
